,keys,card
398,Synset('cirrus.n.01'),1
399,Synset('bladder_stone.n.01'),1
400,Synset('gallstone.n.01'),1
401,Synset('ptyalith.n.01'),1
402,Synset('urolith.n.01'),1
403,Synset('junin_virus.n.01'),1
404,Synset('lymphocytic_choriomeningitis_virus.n.01'),1
405,Synset('ebola_virus.n.01'),1
406,Synset('human_papilloma_virus.n.01'),1
407,Synset('enterovirus.n.01'),1
408,Synset('rotavirus.n.01'),1
409,Synset('cloverleaf.n.01'),1
410,Synset('kitchen_island.n.01'),1
411,Synset('civic_center.n.02'),1
412,Synset('city.n.01'),1
413,Synset('indian_reservation.n.01'),1
414,Synset('police_precinct.n.01'),1
415,Synset('housing_project.n.01'),1
416,Synset('bedroom_community.n.01'),1
417,Synset('stockbroker_belt.n.01'),1
418,Synset('xx.n.02'),1
419,Synset('xxy.n.01'),1
420,Synset('xyy.n.01'),1
421,Synset('chiron.n.02'),1
422,Synset('cupule.n.01'),1
423,Synset('blade.n.01'),1
424,Synset('compound_leaf.n.01'),3
425,Synset('dandelion_green.n.01'),1
426,Synset('emarginate_leaf.n.01'),1
427,Synset('erose_leaf.n.01'),1
428,Synset('floral_leaf.n.01'),1
429,Synset('greenery.n.01'),1
430,Synset('lobed_leaf.n.01'),1
431,Synset('parallel-veined_leaf.n.01'),1
432,Synset('pitcher.n.04'),1
433,Synset('rosette.n.03'),1
434,Synset('scale.n.04'),1
435,Synset('simple_leaf.n.01'),1
436,Synset('agamete.n.01'),4
437,Synset('antheridium.n.01'),1
438,Synset('basidium.n.01'),1
439,Synset('endosperm.n.01'),1
440,Synset('fructification.n.02'),1
441,Synset('gametangium.n.01'),1
442,Synset('gametophore.n.01'),1
443,Synset('gleba.n.01'),1
444,Synset('ovary.n.01'),1
445,Synset('pistil.n.01'),2
446,Synset('placentation.n.02'),1
447,Synset('sorus.n.02'),1
448,Synset('sporocarp.n.01'),1
449,Synset('stamen.n.01'),1
450,Synset('style.n.05'),1
451,Synset('axis.n.02'),1
452,Synset('branch.n.02'),4
453,Synset('cane.n.02'),1
454,Synset('caudex.n.02'),1
455,Synset('corm.n.01'),1
456,Synset('culm.n.01'),1
457,Synset('filament.n.02'),1
458,Synset('gynophore.n.01'),1
459,Synset('petiole.n.01'),1
460,Synset('rhizome.n.01'),1
461,Synset('sporangiophore.n.01'),1
462,Synset('stock.n.10'),1
463,Synset('tuber.n.01'),1
464,Synset('echovirus.n.01'),1
465,Synset('poliovirus.n.01'),1
466,Synset('provincial_capital.n.01'),1
467,Synset('decompound_leaf.n.01'),1
468,Synset('pinnate_leaf.n.01'),1
469,Synset('trifoliolate_leaf.n.01'),1
470,Synset('sepal.n.01'),1
471,Synset('acerate_leaf.n.01'),1
472,Synset('cordate_leaf.n.01'),1
473,Synset('deltoid_leaf.n.01'),1
474,Synset('ensiform_leaf.n.01'),1
475,Synset('lanceolate_leaf.n.01'),1
476,Synset('lyrate_leaf.n.01'),1
477,Synset('oblong_leaf.n.01'),1
478,Synset('obtuse_leaf.n.01'),1
479,Synset('ovate_leaf.n.01'),1
480,Synset('peltate_leaf.n.01'),1
481,Synset('reniform_leaf.n.01'),1
482,Synset('spatulate_leaf.n.01'),1
483,Synset('promycelium.n.01'),1
484,Synset('carpel.n.01'),1
485,Synset('pistillode.n.01'),1
486,Synset('apical_placentation.n.01'),1
487,Synset('basal_placentation.n.01'),1
488,Synset('lamellate_placentation.n.01'),1
489,Synset('parietal_placentation.n.01'),1
490,Synset('stylopodium.n.01'),1
491,Synset('spadix.n.01'),1
492,Synset('deadwood.n.01'),1
493,Synset('malacca.n.01'),1
494,Synset('sugarcane.n.01'),1
495,Synset('groundnut.n.02'),1
496,Synset('water_chestnut.n.03'),1
497,Synset('bijugate_leaf.n.01'),1
498,Synset('even-pinnate_leaf.n.01'),1
499,Synset('mericarp.n.01'),1
500,Synset('abstraction.n.06'),9170
501,Synset('matter.n.03'),1819
502,Synset('thing.n.12'),534
503,Synset('cause_of_death.n.01'),1
504,Synset('engine.n.02'),1
505,Synset('person.n.01'),1716
506,Synset('vital_principle.n.01'),4
507,Synset('curio.n.01'),3
508,Synset('finding.n.03'),1
509,Synset('growth.n.07'),1
510,Synset('ice.n.02'),1
511,Synset('land.n.04'),9
512,Synset('neighbor.n.02'),1
513,Synset('remains.n.01'),2
514,Synset('stuff.n.02'),1
515,Synset('web.n.01'),2
516,Synset('impairer.n.01'),1
517,Synset('mutagen.n.01'),1
518,Synset('retardant.n.01'),1
519,Synset('teratogen.n.01'),1
520,Synset('hazard.n.01'),2
521,Synset('driver.n.01'),3
522,Synset('jockey.n.02'),1
523,Synset('telegrapher.n.01'),1
524,Synset('moloch.n.01'),1
525,Synset('iceberg.n.01'),1
526,Synset('cliff.n.01'),1
527,Synset('foreshore.n.01'),1
528,Synset('monocline.n.01'),1
529,Synset('oceanfront.n.01'),1
530,Synset('ridge.n.04'),1
531,Synset('talus.n.01'),1
532,Synset('water_table.n.01'),1
533,Synset('cultivated_land.n.01'),1
534,Synset('rangeland.n.01'),1
535,Synset('base.n.14'),1
536,Synset('here.n.01'),1
537,Synset('north.n.04'),1
538,Synset('pass.n.04'),2
539,Synset('seat.n.06'),1
540,Synset('southeast.n.04'),1
541,Synset('west.n.08'),1
542,Synset('closet_auger.n.01'),1
543,Synset('footwall.n.01'),1
544,Synset('congener.n.03'),1
545,Synset('sum.n.05'),1
546,Synset('adrenergic.n.01'),1
547,Synset('lypressin.n.01'),1
548,Synset('vasopressin.n.01'),1
549,Synset('elevator_man.n.01'),1
550,Synset('grotto.n.01'),1
551,Synset('mountain.n.01'),2
552,Synset('lakeside.n.01'),1
553,Synset('geyser.n.01'),1
554,Synset('marsh.n.01'),1
555,Synset('axis.n.01'),2
556,Synset('flight_line.n.01'),1
557,Synset('hipline.n.02'),1
558,Synset('latitude.n.03'),1
559,Synset('part.n.10'),1
560,Synset('rhumb_line.n.01'),1
561,Synset('water_line.n.02'),1
562,Synset('antinode.n.01'),1
563,Synset('center.n.04'),4
564,Synset('crossing.n.03'),1
565,Synset('geographic_point.n.01'),21
566,Synset('mcburney's_point.n.01'),1
567,Synset('node.n.04'),1
568,Synset('punctum.n.01'),1
569,Synset('antipodes.n.01'),1
570,Synset('breadbasket.n.01'),1
571,Synset('field.n.11'),1
572,Synset('northland.n.01'),1
573,Synset('unknown.n.01'),1
574,Synset('piece.n.02'),1
575,Synset('body.n.03'),2
576,Synset('cocoon.n.01'),1
577,Synset('extraterrestrial_object.n.01'),3
578,Synset('radiator.n.01'),1
579,Synset('universe.n.01'),1
580,Synset('plant_virus.n.01'),1
581,Synset('angiotensin_i.n.01'),1
582,Synset('continental_glacier.n.01'),1
583,Synset('knoll.n.01'),1
584,Synset('landfall.n.01'),1
585,Synset('mire.n.01'),1
586,Synset('ecliptic.n.01'),1
587,Synset('meridian.n.03'),1
588,Synset('isoclinic_line.n.01'),1
589,Synset('magnetic_line_of_force.n.01'),1
590,Synset('bus_route.n.01'),1
591,Synset('fairway.n.02'),1
592,Synset('line_of_flight.n.01'),1
593,Synset('orbit.n.01'),2
594,Synset('track.n.07'),1
595,Synset('birthplace.n.02'),1
596,Synset('home.n.06'),1
597,Synset('trail_head.n.01'),1
598,Synset('apoapsis.n.01'),1
599,Synset('nadir.n.02'),1
600,Synset('zenith.n.01'),1
601,Synset('half-mast.n.01'),1
602,Synset('left.n.01'),1
603,Synset('polls.n.01'),1
604,Synset('setting.n.05'),1
605,Synset('vantage.n.01'),1
606,Synset('grave.n.02'),3
607,Synset('holy_place.n.01'),1
608,Synset('overlook.n.01'),1
609,Synset('rendezvous.n.02'),1
610,Synset('solitude.n.03'),1
611,Synset('anchorage.n.04'),1
612,Synset('broadcast_area.n.01'),1
613,Synset('danger.n.04'),1
614,Synset('hearth.n.03'),1
615,Synset('no-go_area.n.01'),1
616,Synset('quadrant.n.03'),1
617,Synset('safety.n.02'),1
618,Synset('space.n.03'),3
619,Synset('benthos.n.01'),1
620,Synset('british_west_africa.n.01'),1
621,Synset('enclave.n.01'),1
622,Synset('palatinate.n.02'),1
623,Synset('trust_territory.n.01'),1
624,Synset('country.n.04'),1
625,Synset('environment.n.02'),4
626,Synset('hemisphere.n.01'),1
627,Synset('northern_europe.n.01'),1
628,Synset('semidesert.n.01'),1
629,Synset('tract.n.01'),35
630,Synset('human_body.n.01'),5
631,Synset('inclusion_body.n.01'),1
632,Synset('planet.n.01'),1
633,Synset('quasar.n.01'),1
634,Synset('bark.n.01'),1
635,Synset('envelope.n.04'),1
636,Synset('integument.n.01'),1
637,Synset('roof.n.03'),1
638,Synset('shell.n.06'),1
639,Synset('snowcap.n.01'),1
640,Synset('barrier.n.03'),2
641,Synset('aril.n.01'),1
642,Synset('chalaza.n.01'),1
643,Synset('germ_tube.n.01'),1
644,Synset('lip.n.02'),1
645,Synset('nucellus.n.01'),1
646,Synset('prophyll.n.01'),1
647,Synset('stock.n.11'),1
648,Synset('tepal.n.01'),1
649,Synset('achondrite.n.01'),1
650,Synset('chondrite.n.01'),1
651,Synset('outcrop.n.01'),1
652,Synset('stepping_stone.n.01'),1
653,Synset('xenolith.n.01'),1
654,Synset('alphavirus.n.01'),1
655,Synset('flavivirus.n.01'),1
656,Synset('myxovirus.n.01'),2
657,Synset('poxvirus.n.01'),2
658,Synset('vesiculovirus.n.01'),1
659,Synset('approach_path.n.01'),1
660,Synset('east-west_direction.n.01'),1
661,Synset('ascending_node.n.01'),1
